Image,Song,Artist,Last Week,Peak Position,Weeks on Chart
https://charts-static.billboard.com/img/2025/04/jordan-davis-wxd-barnone-djc-180x180.jpg,Bar None,Jordan Davis,43,43,8
https://charts-static.billboard.com/img/2025/06/discolines-hzk-nobrokeboys-gbu-180x180.jpg,No Broke Boys,Disco Lines & Tinashe,50,45,7
https://charts-static.billboard.com/img/2024/11/morgan-wallen-eos-lovesomebody-a74-180x180.jpg,Love Somebody,Morgan Wallen,44,1,45
https://charts-static.billboard.com/img/2025/05/scotty-mccreery-3w0-bottlerockets-fda-180x180.jpg,Bottle Rockets,Scotty McCreery & Hootie & the Blowfish,48,47,10
https://charts-static.billboard.com/img/2025/07/drake-bg5-whatdidimissX-fvw-180x180.jpg,What Did I Miss?,Drake,45,2,8
https://charts-static.billboard.com/img/2025/08/luke-combs-vjy-backinthesaddle-8bn-180x180.jpg,Back In The Saddle,Luke Combs,47,38,5
https://charts-static.billboard.com/img/2025/07/jeongyeon-000-takedown-h5r-180x180.jpg,Takedown,"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE",53,50,8
https://charts-static.billboard.com/img/2024/12/twice-bvh-strategy-z1j-180x180.jpg,Strategy,Twice,57,51,6
https://charts-static.billboard.com/img/2017/11/straykids-l9j-180x180.jpg,Ceremony,Stray Kids,-,52,1
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,Sugar On My Tongue,"Tyler, the Creator",49,41,6
https://charts-static.billboard.com/img/2025/05/lainey-wilson-wci-somewhereoverlaredo-3ei-180x180.jpg,Somewhere Over Laredo,Lainey Wilson,54,54,8
https://charts-static.billboard.com/img/2025/07/meganmoroney-1wq-6monthslater-74i-180x180.jpg,6 Months Later,Megan Moroney,51,30,10
https://charts-static.billboard.com/img/2024/11/hudsonwestbrook-9ly-houseagain-zq0-180x180.jpg,House Again,Hudson Westbrook,56,56,19
https://charts-static.billboard.com/img/2017/02/billie-eilish-wnf-180x180.jpg,Wildflower,Billie Eilish,59,17,63
https://charts-static.billboard.com/img/2016/08/morgan-wallen-eos-180x180.jpg,20 Cigarettes,Morgan Wallen,55,20,15
https://charts-static.billboard.com/img/2021/01/mariahthescientist-nuo-180x180.jpg,Is It A Crime,Mariah the Scientist & Kali Uchis,95,59,3
https://charts-static.billboard.com/img/2025/08/sombr-kpn-12to12-142-180x180.jpg,12 To 12,sombr,-,60,2
https://charts-static.billboard.com/img/2023/02/bigxthaplug-b4l-180x180.jpg,Box Me Up,BigXthaPlug Feat. Jelly Roll,-,61,1
https://charts-static.billboard.com/img/2019/01/shaboozey-2wm-180x180.jpg,Amen,Shaboozey & Jelly Roll,58,56,18
https://charts-static.billboard.com/img/2025/07/katseye-xrz-gabriela-iea-180x180.jpg,Gabriela,KATSEYE,72,63,6
